,username,mention
0,mihashi_chan,akcjademokracja
1,leodille,akcjademokracja
2,grzegorzkrajski,pisorgpl
3,grzegorzkrajski,episkopatnews
4,nazwa_mp4,akcjademokracja
5,amarylis_hill,krystpawlowicz
6,amarylis_hill,pisorgpl
7,amarylis_hill,andrzejduda
8,chipsforthesoul,akcjademokracja
9,sen_ggs,strajkkobiet
10,sen_ggs,ruchosmiugwiazd
11,dramaclubp,akcjademokracja
12,kosiaralalalala,akcjademokracja
13,belovedjaemin,akcjademokracja
14,bosia_x_bosia,akcjademokracja
15,shezzainacrown,akcjademokracja
16,ozzkar24,akcjademokracja
17,anneimizeb,akcjademokracja
18,acr21x,akcjademokracja
19,polishlibra,ruchosmiugwiazd
20,karolina80174,akcjademokracja
21,monikasiarnacka,akcjademokracja
22,pinkmoou,akcjademokracja
23,tommogirlzz,akcjademokracja
24,tomczakewa,akcjademokracja
25,aliszia5,pisorgpl
26,marta_sulik,akcjademokracja
27,murrixl0,akcjademokracja
28,elanied11,akcjademokracja
29,xlittledumbass,akcjademokracja
30,mp_panek,polskapolicja
31,naanaja4,akcjademokracja
32,ksymenamatysek,pisorgpl
33,sen_ggs,ruchosmiugwiazd
34,sen_ggs,strajkkobiet
35,diosatalassa,akcjademokracja
36,_ebangtan,akcjademokracja
37,marta30003582,akcjademokracja
38,chromatydy,akcjademokracja
39,ultrastained,akcjademokracja
40,sziliana,rtdw_nowy_swiat
41,theresnothinq,akcjademokracja
42,goodiess_s,akcjademokracja
43,adricz94,akcjademokracja
44,youranoncentral,marcinterlik
45,lukandrze,jemilewicz
46,wiinterstan,akcjademokracja
47,budzynka,akcjademokracja
48,kasia_narozna,akcjademokracja
49,realolamilka,voguemagazine
50,kajae_p,akcjademokracja
51,lostharry_,akcjademokracja
52,ekmatuszczak,akcjademokracja
53,ciotkarewolucji,martalempart
54,twmoniek,akcjademokracja
55,alkoholik06,zapi__
56,alkoholik06,goracyluki
57,alkoholik06,larryrublow
58,annslovesbrad,polskapolicja
59,_no_one_1111,akcjademokracja
60,sylwia89978255,policja_ksp
61,sylwia89978255,pisorgpl
62,sylwia89978255,warszawskisk
63,qhemmoq,akcjademokracja
64,clavdiie,mlodalewica_
65,mnmcompany,strajkkobiet
66,batzpees,tvn24
67,rpolityki,tvp_info
68,k_kuczyn,michalbuksa
69,skryckiadam,ksuchanow
70,latidodemimi,akcjademokracja
71,mp_panek,morawieckim
72,kkwlczk,akcjademokracja
73,goldenbasia,akcjademokracja
74,lucy_alice27,akcjademokracja
75,izabela38007905,akcjademokracja
76,gromperuna,akcjademokracja
77,marzena101618,akcjademokracja
78,margo_1976,akcjademokracja
79,momoka1223ma,akcjademokracja
80,jsuska,akcjademokracja
81,drobotemilia,razemkrakow
82,drobotemilia,mr_malopolska
83,caramel4221,akcjademokracja
84,wi_viento,akcjademokracja
85,kingagoliszews1,akcjademokracja
86,martizlle,akcjademokracja
87,nimijeat,akcjademokracja
88,ofdauther,akcjademokracja
89,adalucja,akcjademokracja
90,vegemagda,akcjademokracja
91,agnieszkadrzew7,akcjademokracja
92,wiciowiec,akcjademokracja
93,magdalenkal10,akcjademokracja
94,katarzy16344235,akcjademokracja
95,mail_maja,akcjademokracja
96,blackstar_prime,akcjademokracja
97,grzelinskma,akcjademokracja
98,so_lauvly,akcjademokracja
99,p_fimmel,akcjademokracja
100,szanonn,akcjademokracja
101,purplesarang,akcjademokracja
102,wt21726775,akcjademokracja
103,wojtekkowalcz13,trzaskowski_
104,hobiforlife,akcjademokracja
105,grzegor02051738,akcjademokracja
106,jo__ma__,moanrosa
107,sziliana,rtdw_nowy_swiat
108,andrju_s,akcjademokracja
109,ewadobrzynska,akcjademokracja
110,joannabak31,akcjademokracja
111,messy_no_one,akcjademokracja
112,yellloww76,akcjademokracja
113,wasnego,iamabullshipper
114,aniawiktoria7,akcjademokracja
115,mari00835841,akcjademokracja
116,grzegorzkrajski,pisorgpl
117,beatax088,akcjademokracja
118,jdbtwerks,akcjademokracja
